,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-all-pairs,Python
49,ml-ane-transformers,Python
50,ml-aspanformer,Python
51,ml-autofocusformer,Python
52,ml-autofocusformer-segmentation,Python
53,ml-batchquant,Python
54,ml-behavioral-testing-for-mt,
55,ml-calibration,Jupyter Notebook
56,ml-capsules-inverted-attention-routing,Python
57,ml-cifar-10-faster,Python
58,ml-code-switched-speech-translation,Python
59,ml-codeswitching-translations,
60,ml-collegial-ensembles,Python
61,ml-core,Python
62,ml-covid-mobility,R
63,ml-cread,Python
64,ml-cvnets,Python
65,ml-cvpr2019-swd,Python
66,ml-dab,Python
67,ml-data-parameters,Python
68,ml-destseg,Python
69,ml-dms-dataset,Python
70,ml-dprecs,Jupyter Notebook
71,ml-dr,Python
72,ml-duet,Python
73,ml-entropy-reconstruction,Python
74,ml-envmapnet,Python
75,ml-equivariant-neural-rendering,Jupyter Notebook
76,ml-facelit,Python
77,ml-fastvit,Python
78,ml-fct,Python
79,ml-ferret,Python
80,ml-finerecon,Python
81,ml-flair,Jupyter Notebook
82,ml-gaudi,
83,ml-gmpi,Python
84,ml-gsn,Python
85,ml-heart-rate-models,Python
86,ml-hierarchical-confusion-matrix,TypeScript
87,ml-hypersim,Python
88,ml-interspeech2022-phi_rtn,
89,ml-knowledge-conflicts,Python
90,ml-live-pose,
91,ml-mkqa,Python
92,ml-mobileone,Swift
93,ml-multiple-futures-prediction,Python
94,ml-ncg,Python
95,ml-neilf,Python
96,ml-neilfpp,Python
97,ml-neuman,Python
98,ml-no-token-left-behind,Jupyter Notebook
99,ml-nvas3d,Python
100,ml-pointconvformer,Python
101,ml-pointersect,Python
102,ml-probabilistic-attention,Python
103,ml-projunit,Python
104,ml-qrecc,Python
105,ml-quant,Python
106,ml-reed,Python
107,ml-robust-expert-augmentations,Python
108,ml-sad,Python
109,ml-selfcond,Python
110,ml-shuffling-amplification,Python
111,ml-spatial-librispeech,
112,ml-spin,Python
113,ml-stable-diffusion,Python
114,ml-stuttering-events-dataset,Python
115,ml-symphony,Svelte
116,ml-tract,Python
117,ml-transcript-translation-consistency-ratings,
118,ml-translate-vis,TypeScript
119,ml-tree-dst,Python
120,ml-tune-mode-convbn,Python
121,ml-upscale,Jupyter Notebook
122,ml-uwac,Python
123,ml-vfi-smiff,Python
124,openjdk,Java
125,password-manager-resources,JavaScript
126,sample-backyard-birds,Swift
127,sample-cloudkit-coredatasync,Swift
128,sample-cloudkit-encryption,Swift
129,sample-cloudkit-privatedb,Swift
130,sample-cloudkit-privatedb-sync,Swift
131,sample-cloudkit-queries,Swift
132,sample-cloudkit-sharing,Swift
133,sample-cloudkit-sync-engine,Swift
134,sample-cloudkit-tooling,JavaScript
135,sample-cloudkit-zonesharing,Swift
136,sample-food-truck,Swift
137,servicetalk,Java
138,sourcekit-lsp,Swift
139,swift,C++
140,swift-3-api-guidelines-review,Swift
141,swift-algorithms,Swift
142,swift-argument-parser,Swift
143,swift-asn1,Swift
144,swift-async-algorithms,Swift
145,swift-async-dns-resolver,Swift
146,swift-atomics,Swift
147,swift-book,Markdown
148,swift-cassandra-client,Swift
149,swift-certificates,Swift
150,swift-clang,C++
151,swift-clang-tools-extra,C++
152,swift-cluster-membership,Swift
153,swift-cmake-examples,CMake
154,swift-cmark,C
155,swift-collections,Swift
156,swift-collections-benchmark,Swift
157,swift-community-hosted-continuous-integration,
158,swift-compiler-rt,C
159,swift-corelibs-foundation,Swift
160,swift-corelibs-libdispatch,C
161,swift-corelibs-xctest,Swift
162,swift-crypto,C
163,swift-distributed-actors,Swift
164,swift-distributed-tracing,Swift
165,swift-distributed-tracing-baggage-core,Swift
166,swift-distributed-tracing-extras,Swift
167,swift-docc,Swift
168,swift-docc-plugin,Swift
169,swift-docc-render,JavaScript
170,swift-docc-render-artifact,
171,swift-docc-symbolkit,Swift
172,swift-docker,Dockerfile
173,swift-driver,Swift
174,swift-evolution,Markdown
175,swift-evolution-staging,Swift
176,swift-experimental-string-processing,Swift
177,swift-format,Swift
178,swift-foundation,Swift
179,swift-foundation-icu,C
180,swift-getting-started-cli,Swift
181,swift-getting-started-package-library,Swift
182,swift-http-structured-headers,Swift
183,swift-http-types,Swift
184,swift-installer-scripts,CMake
185,swift-integration-tests,Python
186,swift-internals,HTML
187,swift-issues,
188,swift-libcxx,C++
189,swift-llbuild,C++
190,swift-llbuild2,Swift
191,swift-lldb,C++
192,swift-llvm,LLVM
193,swift-llvm-bindings,Swift
194,swift-lmdb,C
195,swift-log,Swift
196,swift-markdown,Swift
197,swift-metrics,Swift
198,swift-metrics-extras,Swift
199,swift-nio,Swift
200,swift-nio-examples,Swift
201,swift-nio-extras,Swift
202,swift-nio-http2,Swift
203,swift-nio-imap,Swift
204,swift-nio-nghttp2-support,Swift
205,swift-nio-ssh,Swift
206,swift-nio-ssl,C
207,swift-nio-ssl-support,Swift
208,swift-nio-transport-services,Swift
209,swift-nio-zlib-support,Swift
210,swift-numerics,Swift
211,swift-openapi-generator,Swift
212,swift-openapi-runtime,Swift
213,swift-openapi-urlsession,Swift
214,swift-org-website,SCSS
215,swift-package-collection-generator,Swift
216,swift-package-manager,Swift
217,swift-package-registry-compatibility-test-suite,Swift
218,swift-protobuf,Swift
219,swift-protobuf-plugin,
220,swift-protobuf-test-conformance,
221,swift-sample-distributed-actors-transport,Swift
222,swift-sdk-generator,Swift
223,swift-se0270-range-set,Swift
224,swift-se0288-is-power,Swift
225,swift-service-context,Swift
226,swift-service-discovery,Swift
227,swift-source-compat-suite,Python
228,swift-standard-library-preview,Swift
229,swift-statsd-client,Swift
230,swift-stress-tester,Swift
231,swift-syntax,Swift
232,swift-system,Swift
233,swift-testing,Swift
234,swift-tools-support-async,Swift
235,swift-tools-support-core,Swift
236,swift-xcode-playground-support,Swift
237,swiftpm-on-llbuild2,Swift
238,tensorflow_macos,Shell
239,turicreate,C++
240,unityplugins,C#
241,VideoFlashingReduction,Mathematica
242,vqg-multimodal-assistant,Python
